,Class,F1 score,Accuracy,Precision,Recall,Specificity
201,"silky terrier, Sydney silky",0.79999995,0.76,0.84444445,0.76,0.99985987
202,soft-coated wheaten terrier,0.7818182,0.86,0.71666664,0.86,0.99965966
203,West Highland white terrier,0.82568806,0.9,0.7627119,0.9,0.99971974
204,"Lhasa, Lhasa apso",0.7010309,0.68,0.7234042,0.68,0.99973977
205,flat-coated retriever,0.71428573,0.7,0.7291667,0.7,0.99973977
206,curly-coated retriever,0.84,0.84,0.84,0.84,0.99983984
207,golden retriever,0.77192986,0.88,0.6875,0.88,0.9995996
208,Labrador retriever,0.7962963,0.86,0.7413793,0.86,0.9996997
209,Chesapeake Bay retriever,0.8125,0.78,0.84782606,0.78,0.99985987
210,German short-haired pointer,0.8518518,0.92,0.79310346,0.92,0.99975973
211,"vizsla, Hungarian pointer",0.7407407,0.8,0.6896552,0.8,0.99963963
212,English setter,0.71999997,0.72,0.72,0.72,0.99971974
213,"Irish setter, red setter",0.79591835,0.78,0.8125,0.78,0.9998198
214,Gordon setter,0.86,0.86,0.86,0.86,0.99985987
215,Brittany spaniel,0.7592593,0.82,0.70689654,0.82,0.99965966
216,"clumber, clumber spaniel",0.8737864,0.9,0.8490566,0.9,0.99983984
217,"English springer, English springer spaniel",0.84615386,0.88,0.8148148,0.88,0.9997998
218,Welsh springer spaniel,0.8598131,0.92,0.80701756,0.92,0.99977976
219,"cocker spaniel, English cocker spaniel, cocker",0.71428573,0.7,0.7291667,0.7,0.99973977
220,Sussex spaniel,0.7916667,0.76,0.82608694,0.76,0.99983984
221,Irish water spaniel,0.8453609,0.82,0.87234044,0.82,0.9998799
222,kuvasz,0.6875,0.66,0.7173913,0.66,0.99973977
223,schipperke,0.81132066,0.86,0.76785713,0.86,0.99973977
224,groenendael,0.79591835,0.78,0.8125,0.78,0.9998198
225,malinois,0.8305085,0.98,0.7205882,0.98,0.9996196
226,briard,0.60465115,0.52,0.7222222,0.52,0.9997998
